6.5,0,0
-6.5,-0,1
5.88973,2.43961,0
-5.88973,-2.43961,1
4.41941,4.41943,0
-4.41941,-4.41943,1
2.34392,5.65877,0
-2.34392,-5.65877,1
-2.20392e-05,6,0
2.20392e-05,-6,1
-2.24829,5.42778,0
2.24829,-5.42778,1
-4.06589,4.06584,0
4.06589,-4.06584,1
-5.19684,2.15256,0
5.19684,-2.15256,1
-5.5,-4.04053e-05,0
5.5,4.04053e-05,1
-4.96584,-2.05696,0
4.96584,2.05696,1
-3.71228,-3.71234,0
3.71228,3.71234,1
-1.9612,-4.7349,0
1.9612,4.7349,1
5.50981e-05,-5,0
-5.50981e-05,5,1
1.86564,-4.50389,0
-1.86564,4.50389,1
3.3588,-3.35871,0
-3.3588,3.35871,1
4.27297,-1.76985,0
-4.27297,1.76985,1
4.5,6.61177e-05,0
-4.5,-6.61177e-05,1
4.04195,1.6743,0
-4.04195,-1.6743,1
3.00515,3.00525,0
-3.00515,-3.00525,1
1.5785,3.81103,0
-1.5785,-3.81103,1
-7.34641e-05,4,0
7.34641e-05,-4,1
-1.48297,3.58,0
1.48297,-3.58,1
-2.6517,2.6516,0
2.6517,-2.6516,1
-3.34909,1.38716,0
3.34909,-1.38716,1
-3.5,-7.71373e-05,0
3.5,7.71373e-05,1
-3.11806,-1.29163,0
3.11806,1.29163,1
-2.29804,-2.29815,0
2.29804,2.29815,1
-1.19581,-2.88715,0
1.19581,2.88715,1
7.71373e-05,-3,0
-7.71373e-05,3,1
1.10029,-2.65612,0
-1.10029,2.65612,1
1.9446,-1.94449,0
-1.9446,1.94449,1
2.42521,-1.00447,0
-2.42521,1.00447,1
2.5,7.34641e-05,0
-2.5,-7.34641e-05,1
2.19419,0.90894,0
-2.19419,-0.90894,1
1.59094,1.59104,0
-1.59094,-1.59104,1
0.813139,1.96327,0
-0.813139,-1.96327,1
-6.61177e-05,2,0
6.61177e-05,-2,1
-0.71759,1.73225,0
0.71759,-1.73225,1
-1.23748,1.23739,0
1.23748,-1.23739,1
-1.50133,0.621807,0
1.50133,-0.621807,1
-1.5,-5.50981e-05,0
1.5,5.50981e-05,1
-1.27031,-0.526238,0
1.27031,0.526238,1
-0.883849,-0.883918,0
0.883849,0.883918,1
-0.430478,-1.03938,0
0.430478,1.03938,1
4.04053e-05,-1,0
-4.04053e-05,1,1
0.334881,-0.808381,0
-0.334881,0.808381,1
0.530352,-0.530308,0
-0.530352,0.530308,1
0.577435,-0.239152,0
-0.577435,0.239152,1
0.5,2.20392e-05,0
-0.5,-2.20392e-05,1
